"","1","2","3","4","5","6"
"Probability of clinician DLT",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.338461538461538,0,0,0,0,0
"Probability of clinician DLT1",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13,0.05
"Probability recommended as MTD1",0.323076923076923,0,0,0,0,0
"Probability of clinician DLT2",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.292307692307692,0.0153846153846154,0,0,0,0
"Probability of clinician DLT3",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD3",0.284615384615385,0,0,0,0,0
"Probability of clinician DLT4",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD4",0.292307692307692,0.0153846153846154,0,0,0,0
"Probability of clinician DLT5",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD5",0.315384615384615,0.0153846153846154,0,0,0,0
"Probability of clinician DLT6",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD6",0.353846153846154,0.00769230769230769,0,0,0,0
"Probability of clinician DLT7",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD7",0.330769230769231,0.0153846153846154,0,0,0,0
"Probability of clinician DLT8",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD8",0.346153846153846,0.0230769230769231,0,0,0,0
"Probability of clinician DLT9",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy9",0.13,0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD9",0.346153846153846,0.0230769230769231,0,0,0,0
"Probability of clinician DLT10",0.33,0.45,0.55,0.6,0.7,0.75
"Probability of efficacy10",0.05,0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD10",0.3,0.00769230769230769,0,0,0,0
"Probability of clinician DLT11",0.25,0.33,0.45,0.55,0.6,0.7
"Probability of efficacy11",0.63,0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.561538461538462,0.115384615384615,0.0230769230769231,0,0,0
"Probability of clinician DLT12",0.25,0.33,0.45,0.55,0.6,0.7
"Probability of efficacy12",0.63,0.5,0.38,0.25,0.13,0.05
"Probability recommended as MTD12",0.623076923076923,0.0538461538461538,0,0,0,0
"Probability of clinician DLT13",0.25,0.33,0.45,0.55,0.6,0.7
"Probability of efficacy13",0.5,0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD13",0.446153846153846,0.169230769230769,0.0230769230769231,0,0,0
"Probability of clinician DLT14",0.25,0.33,0.45,0.55,0.6,0.7
"Probability of efficacy14",0.5,0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD14",0.630769230769231,0.0615384615384615,0,0,0,0
"Probability of clinician DLT15",0.25,0.33,0.45,0.55,0.6,0.7
